,Angry,Fear,Happy,Neutral,Sad,Surprise
100,0.326913327,0.005104651,0.01715843,0.504206598,0.14624922,0.000367765
101,0.339957774,0.028139476,0.063822158,0.432742655,0.098606192,0.036731724
102,0.184588104,0.035482593,0.115535028,0.428316832,0.193800554,0.0422769
103,0.048957974,0.443987101,0.090487428,0.097772822,0.119165167,0.199629501
104,0.165914446,0.043534715,0.052685272,0.495955884,0.218660772,0.023248909
105,0.124952771,0.067981586,0.040396534,0.413462311,0.274721444,0.078485325
106,0.069291636,0.040421788,0.06550061,0.65410322,0.132978618,0.037704088
107,0.127448723,0.164566681,0.092293583,0.308114886,0.16126664,0.146309525
108,0.074713752,0.201001808,0.04414152,0.305031866,0.275084406,0.100026719
109,0.261771917,0.013022429,0.065913476,0.534115672,0.112385698,0.01279075
110,0.144619599,0.084617749,0.050974779,0.33871454,0.219983071,0.161090225
111,0.154571578,0.05074431,0.025031842,0.514645219,0.240174472,0.014832619
112,0.024038574,0.158907399,0.050735034,0.411966264,0.212457821,0.141894862
113,0.074873202,0.101616427,0.049928963,0.388299286,0.158018351,0.227263808
114,0.105145872,0.027808448,0.037576769,0.690266669,0.132924631,0.006277635
115,0.174993455,0.118790105,0.172584459,0.238487393,0.209248841,0.085895739
116,0.298570842,0.021780672,0.074233033,0.484344572,0.111843511,0.00922743
117,0.469123155,0.062817015,0.127679303,0.159973785,0.157767162,0.022639569
118,0.181544662,0.082597688,0.183622822,0.341594815,0.158412546,0.052227531
119,0.189553127,0.087454282,0.233890072,0.243603796,0.104929619,0.140569136
120,0.413591594,0.065930381,0.213143557,0.153610602,0.109005116,0.044718686
121,0.437768161,0.032718185,0.305144548,0.158107966,0.055175692,0.011085472
122,0.191519916,0.151707977,0.224678621,0.11841628,0.109105282,0.204571947
123,0.204888865,0.120601989,0.170531929,0.162101358,0.105992004,0.235883817
124,0.092310198,0.091325492,0.222906008,0.313342333,0.127695665,0.152420253
125,0.20482181,0.05953294,0.130755648,0.438147455,0.134637728,0.032104436
126,0.083975531,0.030553356,0.118504435,0.690447271,0.055962533,0.02055685
127,0.208485082,0.04656015,0.068755843,0.44308418,0.219555095,0.013559596
128,0.117181443,0.062359907,0.200778872,0.278811455,0.096986078,0.243882284
129,0.106599711,0.10206005,0.155298606,0.222735748,0.128165781,0.285140038
130,0.082152039,0.219585389,0.161695793,0.250069886,0.243810996,0.042685885
131,0.051972136,0.093631491,0.165458605,0.14042446,0.10268563,0.445827693
132,0.080023654,0.04065536,0.116472676,0.683037996,0.072102293,0.007707976
133,0.099324822,0.13990657,0.192648634,0.364499897,0.125564337,0.078055717
134,0.101066448,0.246672288,0.073997349,0.145087406,0.412621677,0.020554829
135,0.073860586,0.133169323,0.165959984,0.264505088,0.163768888,0.198736191
136,0.088853084,0.217142448,0.146917358,0.196578249,0.165588915,0.184919968
137,0.163431436,0.172417477,0.045955338,0.320015758,0.24387373,0.054306224
138,0.081811085,0.148490593,0.093417577,0.185574234,0.091597006,0.399109513
139,0.378198445,0.074351899,0.100472331,0.249139935,0.10232617,0.09551125
140,0.053668208,0.063428871,0.058338046,0.072022654,0.075050905,0.677491307
141,0.131411657,0.104179241,0.052567326,0.163223222,0.125883609,0.422735006
142,0.019366642,0.081475258,0.05636932,0.053483605,0.073136829,0.716168404
143,0.159505561,0.106302179,0.061955694,0.196488559,0.203701362,0.272046626
144,0.104693308,0.171291292,0.077508762,0.079366639,0.108687662,0.458452344
145,0.060280457,0.110026829,0.07211522,0.10005068,0.167275786,0.490251034
146,0.501758814,0.026087446,0.021076398,0.251146078,0.191602275,0.00832902
147,0.248674154,0.198326081,0.042153694,0.154639348,0.205523759,0.150682941
148,0.041264568,0.210294589,0.062865511,0.010545876,0.034684077,0.640345335
149,0.02107537,0.150181204,0.054782555,0.020165624,0.063947111,0.689848125
150,0.257927299,0.08306469,0.041487526,0.185121208,0.196658581,0.235740647
151,0.042723347,0.123905264,0.094805554,0.122392006,0.067084886,0.549088955
152,0.419912726,0.245092288,0.025807811,0.071610108,0.199689522,0.037887644
153,0.013538572,0.069402993,0.128999755,0.032577697,0.027194517,0.728286505
154,0.031698156,0.163470879,0.103125237,0.095591463,0.094242573,0.511871696
155,0.076718099,0.114668094,0.251413584,0.066435382,0.056965601,0.433799297
156,0.179599345,0.028282614,0.329415888,0.350394309,0.044563785,0.067744002
157,0.047538858,0.095361561,0.227443397,0.346711844,0.116098568,0.166845754
158,0.079764962,0.058289547,0.076138422,0.451871276,0.21178019,0.122155659
159,0.238842472,0.038768437,0.110604458,0.313630939,0.156699017,0.141454652
160,0.30475232,0.114747949,0.066526741,0.204584152,0.273776591,0.035612285
161,0.150892422,0.014108254,0.738234401,0.054243185,0.035849676,0.006672048
162,0.079536416,0.034302793,0.719009876,0.028555512,0.127559409,0.011035979
163,0.394169897,0.033961549,0.37770322,0.067240648,0.113112971,0.013811688
164,0.254773736,0.025012795,0.670955479,0.014547945,0.027524162,0.007185934
165,0.160910994,0.269762456,0.25130856,0.123426333,0.157812536,0.036779173
166,0.065756738,0.066837743,0.07962361,0.222941101,0.552040815,0.01279996
167,0.16882509,0.118124537,0.013850311,0.162559882,0.534453452,0.002186678
168,0.046224188,0.286808878,0.065925278,0.130649865,0.173105657,0.297286153
169,0.028990231,0.250419438,0.101390012,0.201168552,0.327414423,0.090617269
170,0.064427458,0.041536402,0.293029457,0.322427988,0.225590512,0.052988205
171,0.144816384,0.113365754,0.434677571,0.12749964,0.110236824,0.06940382
172,0.55008173,0.052366931,0.164794728,0.088568985,0.135891736,0.008295865
173,0.258748233,0.091042958,0.322125256,0.080943696,0.088573836,0.158565998
174,0.074477114,0.051946532,0.338675052,0.164591119,0.056457125,0.313853055
175,0.063797943,0.067897275,0.213819429,0.145096242,0.044261042,0.465128064
176,0.052057434,0.124320261,0.15979062,0.123723686,0.078393131,0.461714894
177,0.381889135,0.057390474,0.353125334,0.069997191,0.064170726,0.073427148
178,0.435829431,0.054139398,0.17096819,0.173438951,0.089351334,0.076272689
179,0.134799898,0.117002741,0.261136264,0.165492862,0.104210906,0.217357263
180,0.196189895,0.061427087,0.341629207,0.054694116,0.0695922,0.276467532
181,0.148525774,0.0216885,0.26173079,0.462255806,0.072984904,0.03281422
182,0.34995532,0.225824192,0.072130598,0.017151367,0.253549427,0.081389107
183,0.178227112,0.09758056,0.404447943,0.067171827,0.055889703,0.19668287
184,0.347347051,0.042691894,0.193606749,0.224975437,0.097224697,0.094154179
185,0.249306321,0.014105816,0.241603404,0.451139748,0.031470567,0.012374219
186,0.400850207,0.019166742,0.194229901,0.288169265,0.064248994,0.033334944
187,0.133565709,0.051521525,0.29333216,0.319355071,0.080258466,0.12196707
188,0.204420164,0.038690258,0.239038855,0.374138236,0.066921823,0.076790638
189,0.341282576,0.056210168,0.175407112,0.169884309,0.213896751,0.043319091
190,0.181346357,0.073074579,0.244692728,0.103322692,0.100275837,0.297287852
191,0.301717788,0.080872022,0.201723635,0.064432263,0.09679769,0.25445652
192,0.167153209,0.064595006,0.518187881,0.188845798,0.046625391,0.014592754
193,0.195911855,0.03319129,0.506530106,0.169257745,0.040340625,0.054768387
194,0.176279142,0.045651652,0.573189139,0.097024292,0.052964468,0.054891359
195,0.077571705,0.08771643,0.361032665,0.11779017,0.116103113,0.239785895
196,0.091606408,0.081261635,0.345796138,0.136688456,0.09020526,0.254442126
197,0.080512784,0.026774283,0.293728083,0.444133729,0.079421401,0.075429767
198,0.022165081,0.017252482,0.42847687,0.465901673,0.059921481,0.006282373
199,0.070966214,0.065896861,0.475275725,0.209109858,0.059344176,0.119407177
200,0.263822317,0.111023046,0.17943719,0.317635864,0.06882643,0.059255172
201,0.052065276,0.133503452,0.188632354,0.048407078,0.055033125,0.522358656
